Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","JST_XH_3P","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",48.500000,-40.000000,0.000000,top
"J2","JST_XH_3P","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",48.500000,-47.000000,0.000000,top
"J3","JST_XH_3P","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",48.500000,-54.000000,0.000000,top
"J4","JST_XH_3P","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",48.500000,-61.000000,0.000000,top
"J5","JST_XH_2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",30.000000,-40.000000,0.000000,top
"J6","JST_XH_2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",30.000000,-47.000000,0.000000,top
"J7","JST_XH_2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",30.000000,-54.000000,0.000000,top
"J8","JST_XH_2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",30.000000,-61.000000,0.000000,top
"J9","LED_POWER_IN","TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal",53.500000,-31.500000,180.000000,top
"J10","JST_XH_2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",22.475000,-38.750000,90.000000,top
"Q1","BSS138","SOT-23",41.000000,-40.000000,0.000000,top
"Q2","BSS138","SOT-23",41.000000,-47.000000,0.000000,top
"Q3","BSS138","SOT-23",41.000000,-54.000000,0.000000,top
"Q4","BSS138","SOT-23",41.000000,-61.000000,0.000000,top
"R1","10k","R_0805_2012Metric",38.000000,-40.000000,-90.000000,top
"R2","10k","R_0805_2012Metric",44.000000,-40.000000,90.000000,top
"R3","10k","R_0805_2012Metric",38.000000,-47.000000,-90.000000,top
"R4","10k","R_0805_2012Metric",44.000000,-47.000000,90.000000,top
"R5","10k","R_0805_2012Metric",38.000000,-54.000000,-90.000000,top
"R6","10k","R_0805_2012Metric",44.000000,-54.000000,90.000000,top
"R7","10k","R_0805_2012Metric",38.000000,-61.000000,-90.000000,top
"R8","10k","R_0805_2012Metric",44.000000,-61.000000,90.000000,top
